frame,BrowHeight_L,BrowHeight_R,BrowSpeed_L,BrowSpeed_R,EAR_L,EAR_R,EARSpeed_L,EARSpeed_R,MouthWidth,LipGap,MouthArea,LipCornerLift_L,LipCornerLift_R,UpperLipHeight,LowerLipHeight,CheekWidth_L,CheekWidth_R,JawOpen
1998,0.40953568843978555,0.46706563651714356,0.0005765823861370034,-0.00012038483957105273,0.39601654237038636,0.5362648953175666,0.018802029210646776,0.011222039704032016,0.5630943359133578,0.11067039204622728,0.0623178709145413,-0.06500049821471166,-0.07346269513872587,0.4426310723698231,0.8360931323367802,0.6581573033170337,0.6633756550490806,0.9467627905994542
1999,0.40993911384317755,0.46696709853519325,0.0004034254033919993,-9.85379819503085e-05,0.4121981904166946,0.5475941236248506,0.016181648046308228,0.011329228307284,0.5643781013988775,0.0956565014057068,0.05398643464981186,-0.06164325395770425,-0.06846259395637351,0.4459613910890831,0.8470481303450303,0.6584955780644621,0.6646770955760475,0.9427002736123768
2000,0.4099097136832092,0.46640127857800956,-2.940015996832912e-05,-0.0005658199571836886,0.4259392276942454,0.5587579349703851,0.013741037277550827,0.011163811345534458,0.5652945514283735,0.0819276250472423,0.04631324005067281,-0.058750708147315714,-0.0639874195180894,0.44861347155958425,0.8564471896029049,0.6585907398474704,0.6652344969715338,0.9383667267357605
2001,0.40943040345390247,0.4654071854700885,-0.0004793102293067508,-0.0009940931079210347,0.43899950195694076,0.5704363324182459,0.013060274262695348,0.011678397447860811,0.5666531030170711,0.07014487891986144,0.039747813300696225,-0.05634708364112753,-0.059605593854376256,0.45052071991890075,0.864167659258239,0.658418618309112,0.6654554522067716,0.9343033242133568
2002,0.40883092714516206,0.46398797705352607,-0.0005994763087404098,-0.0014192084165624563,0.45045020970884364,0.5818840286724154,0.011450707751902878,0.011447696254169526,0.5672130462596616,0.060827120797116316,0.034501936482536764,-0.05406044250287517,-0.05563987377259177,0.45191174350126523,0.869809226048558,0.6581088495441532,0.6655002906385546,0.9306286134027084
2003,0.4082449529739624,0.4624855612049795,-0.0005859741711996547,-0.0015024158485465455,0.46042758681052287,0.5929702500769978,0.00997737710167923,0.011086221404582375,0.5665352413614599,0.05660305471767086,0.032067625266271584,-0.05392307559826417,-0.05385482763421097,0.45162970215470954,0.872607676729388,0.6578699822085651,0.6657330876101414,0.9292054069808546
2004,0.4075693303138653,0.46105772655348903,-0.0006756226600971305,-0.0014278346514904894,0.46879397518971544,0.6029831208040146,0.008366388379192569,0.010012870727016843,0.5654177236562078,0.05454352266964451,0.030839874428061166,-0.05472549110599393,-0.053005749952628425,0.4509651252507565,0.874299057956403,0.6578554650781615,0.66607306212957,0.9288338657654361
2005,0.40703882881323716,0.4597057969188847,-0.0005305015006281111,-0.001351929634604343,0.4764706858746153,0.6125679628155162,0.0076767106848998345,0.00958484201150156,0.5645035145261748,0.0557152343920842,0.031451445626981135,-0.05679088567462481,-0.05385229001892597,0.44977120786645525,0.874478336485844,0.658375253092419,0.6664298997273446,0.9301730114525638
2006,0.40644304115127033,0.45848553117947677,-0.000595787661966829,-0.001220265739407922,0.4833022731127006,0.6204923708894947,0.0068315872380853015,0.00792440807397854,0.564074677682805,0.06025989680467339,0.03399108186729523,-0.061028012113734924,-0.05664076532203465,0.4470547565097943,0.872974291794446,0.659062615050605,0.6665449271799524,0.9331902370444058
2007,0.40626005840836604,0.4573179183279274,-0.00018298274290429184,-0.0011676128515493711,0.48961159691208983,0.6269627604844614,0.006309323799389255,0.006470389594966708,0.5638326987760532,0.06545190142091499,0.036903922218178696,-0.06508217700349955,-0.059797693146111774,0.44425864166201356,0.8709492828524033,0.6597623783312251,0.6665181350859648,0.9363279124775169
2008,0.40624247970707356,0.45617446278875173,-1.757870129248662e-05,-0.001143455539175664,0.4949020153320382,0.6311393461257643,0.005290418419948373,0.004176585641302855,0.5635848621410493,0.0709422507647373,0.03998197861722022,-0.06880558310307272,-0.0627171177835646,0.4417700883462228,0.8689059769065065,0.6604789754511295,0.6664525949541605,0.939751590692358
2009,0.4058987137438485,0.4551471061877277,-0.00034376596322505115,-0.0010273566010240431,0.49887552815371833,0.6336141090722379,0.003973512821680125,0.002474762946473641,0.5631003620125627,0.07582580720913965,0.04269753948936132,-0.07153221649223793,-0.06504180307943333,0.43994570279605977,0.8665693651294059,0.6610604285906908,0.6659236637976222,0.9422808429151435
